Year,Month,Day,Cloudiness,Greenness,Estimated Usability,Area Estimate,Top Right Latitude,Top Right Longitude,Bottom Left Latitude,Bottom Left Longitude,URL
2024,7,8,None,High,High,854,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2024-07-08T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763057651379"
2023,7,23,None,High,High,864,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2023-07-23T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763057918238"
2022,7,24,None,High,High,830,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2022-07-24T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763057979140"
2021,7,1,None,Medium-High,Medium-High,836,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2021-07-01T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763058349744"
2020,7,27,None,High,High,804,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2020-07-27T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763058514315"
2019,7,23,None,High,High,797,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2019-07-23T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763058630718"
2018,7,16,None,High,High,786,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2018-07-16T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763058814803"
2017,7,5,None,High,High,802,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2017-07-05T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763059025279"
2016,7,29,None,High,High,768,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2016-07-29T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763059160696"
2015,7,9,None,High,High,779,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2015-07-09T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763059392664"
2014,7,27,None,High,High,771,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2014-07-27T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763059578041"
2013,7,2,Light,High,High,744,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2013-07-02T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763059766320"
2012,8,4,None,High,High,742,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2012-08-04T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763059966539"
2011,7,17,None,High,High,752,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2011-07-17T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763060168419"
2010,7,9,None,High,High,744,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2010-07-09T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763060380842"
2009,7,25,None,High,High,712,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2009-07-25T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763060578880"
2008,7,20,None,High,High,702,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2008-07-20T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763060879717"
2007,7,20,None,High,High,675,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2007-07-20T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763061153741"
2006,7,16,None,High,High,682,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2006-07-16T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763061343402"
2005,7,8,None,High,High,659,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2005-07-08T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763061484491"
2004,7,17,None,High,High,623,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2004-07-17T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763061711841"
2003,7,17,None,High,High,621,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2003-07-17T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763061841115"
2002,7,10,None,Medium-High,Medium-High,591,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2002-07-10T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763062012533"
2001,7,4,None,High,High,585,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2001-07-04T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763062140925"